turku_text,region
"Adalarda vardır gamış
Uzar uzar vermez yemiş
(ah) Oğlan bekar gız görmemiş
Buna da akıl heç ermemiş

Bir bağın dibinden geçtim
Eğildim suyundan içtim
(ah) Ben o yardan vaz mı geçtim
Oğlan da mavilim mavilim
",erzincan
"Adil'im Adil'im aslan Adil'im
Yıhıldı saraylar seslen Adil'im

Ben de bu ellerin nesine geldim
Adil'im vurulmuş yasına geldim

Adilin giydiği çiçekli basma
Yatağı gutludur kendisi yosma

Adil'im Adil'im aslan Adil'im
Yıhıldı saraylar seslen Adil'im

Zara'nın öğünde çıt ırmah ahar
Gız senin bahışın ciğerim yahar

Adil'im Adil'im aslan Adil'im
Yıhıldı saraylar seslen Adil'im
",erzincan
"Ağılın önü kenger
Çoban davarı dönder
Sen Mevla'yı seversen
Mahmut begi tez gönder

Ölürem ben ölürem
Nere gitsem gelürem
Mahmut begi aluram
Türk gelini oluram

Ağılın önü taştan
Aklımı aldın baştan
Eğil eğil öpeyim
Al yanak kalem kaştan

Ölürem ben ölürem
Nere gitsem gelürem
Mahmut begi aluram
Türk gelini oluram

Çıktım kerpiç duvara
El ettim nazlı yara
Eski yar şöyle dursun
Can kurban yeni yara

Ölürem ben ölürem
Nere gitsem gelürem
Mahmut begi aluram
Türk gelini oluram
",erzincan
"Ağveren'in taşları
Yüksek uçar kuşları
Binnaz'ıma nettiler
Hayırsız kardaşları

Kan tabuttan akıyor
Düşmanları bekliyor
Bu nasıl zalım kardaş
Hem boğmuş hem yıkıyor

Binnaz'ım okumuştu
Ne güzel okumuştu
Getirin o kilimi
Eliyle dokumuştu

Saatimi satmayın
Öz katıma katmayın
Benim anam dertlidir
Söyledip ağlatmayın

Yoncalığa gittiler
Müşevere ettiler
Bir gecenin içinde
Binnaz'ıma nettiler
",erzincan
"Ahciğin elinde bir deste kaşık
Boyuna vurgunum kendine aşık
Aman bir Ahcik yaman bir Ahcik

Ahcik çıkmış kilisenin başına
Güneş vurmuş kemerinin kaşına
Aman bir Ahcik yaman bir Ahcik

Ahciği sorarsan Urumellidir
Boyu uzun kendi ince bellidir
Aman bir Ahcik yaman bir Ahcik
",erzincan
"Ak çalının dibinde
Gavağa bak gavağa
Sevdiğim gelin olmuş (le le)
Duvağa bak duvağa

Ak çalının dibinde
Cevize bak cevize
Sevdiğim gelin olmuş (le le)
Çeyize bak çeyize

Ak çalının dibinde 
Daşlara bak daşlara 
Sevdiğim gelin olmuş (le le)
Gaşlara bak gaşlara

Ak çalının dibinde
Fındığa bak fındığa
Sevdiğim gelin olmuş (le le)
Sandığa bak sandığa

Ak çalının dibinde
Tezeğe bak tezeğe
Sevdiğim gelin olmuş (le le)
Bezeğe bak bezeğe
",erzincan
"Amman amman amman amman
Akşamdan doğuyor zöhre yıldızı
Tomurcuk memeler olmuş kırmızı
A leyli leyli Leylam da gel

Gel yavaş yavaş
Bahçadan dolaş
Yanıma yanaş
Gel küçük saraş

Amman amman amman amman
Ayın önündeki yıldız olaydım
Bir kuş olup ben yavrumu bulaydım
A leyli leyli Leylam da gel

Gel yavaş yavaş
Bahçadan dolaş
Yanıma yanaş
Gel küçük saraş
",erzincan
"Akşamın vakti geçti
Bir güzel baktı geçti
Zülfünün tellerini
Boynuma taktı geçti

Hey gelişine gidişine gülüşüne
Ben sana kurban hey ben sana hayran

Kahve Yemen'den gelir
Gülü çemenden gelir
Yari güzel olanlar
Her gün hamamdan gelir

Hey gelişine gidişine gülüşüne
Ben sana kurban hey ben sana hayran

Kahve Yemen neylesin
Bülbül çimen neylesin
Yari çirkin olanlar
Her gün hamam neylesin

Hey gelişine gidişine gülüşüne
Ben sana kurban hey ben sana hayran
",erzincan
"Al yazmayı bağlamış (he loy loy gü loy loy de loy loy)
Bugün yarim ağlamış (he loy loy gü loy loy de loy loy)
Gözünden akan yaşlar (he loy loy gü loy loy de loy loy)
Yüreğimi dağlamış (he loy loy gü loy loy de loy loy)

Anana söyle yarim (he loy loy gü loy loy de loy loy)
Bakmasın bana zalim (he loy loy gü loy loy de loy loy)
Yollara engel koymuş (he loy loy gü loy loy de loy loy)
Gelemem sana yarim (he loy loy gü loy loy de loy loy)

Desti kırdım pınarda (he loy loy gü loy loy de loy loy)
Ana gönlüm o yarda (he loy loy gü loy loy de loy loy)
Pencerenin önüne (he loy loy gü loy loy de loy loy)
Çekmişler kara perde (he loy loy gü loy loy de loy loy)
",erzincan
"Alemin içinde böyle gezerim
Kahır çektim cananımdan ötürü
Döğe döğe kara bağrım ezerim
Dertli oldum sultanımdan ötürü

Gel yareli gönlüm ağlama sakın
Zamanı mahbuba bağlama sakın
Her gördüğün çöle çağlama sakın
Bir ol nazlı meydanından ötürü

Cennet-i alada dört ırmak kevser
İki tatlı iki acıymış meğer
Meyveli bir ağaç dalını eğer
Meçhul olan o mekandan ötürü

Telli durna gider semadan öte
Er odur ki mürşid eteğin tuta
Gül odur ki bağın içinde bite
Muhammed'in teri candan ötürü

Kemalatın artsın şuara esman
Fikrini artırsın halk eden Sübhan
Dü cihan yoldaşın dil ile iyman
Hoş devranı Habibandan ötürü
",erzincan
"Baktım şu cihanın temaşesine
Cümle kullar alo alo Ali diyorlar
Yedi derya doldu kalp şişesine
Hep lisanlar alo alo Ali diyorlar
(Bu Almanlar alo alo Ali diyorlar)

Herhangi millet olsa da o anda
Telli telsiz telefonlar kuranda
Haber alıp sual cevap verende
Cümle diller alo alo Ali diyorlar
(Hep lisanlar alo alo Ali diyorlar)

Ali dindir Ali Ali imandır canda
Ali görünüyor her bir meydanda
Ali'nin heybeti yalnız aslanda
Cümle kullar alo alo Ali diyorlar
(Bütün kullar alo alo Ali diyorlar)

Hakk'ı bilmek ne kusurdur ne de suç
Hayat bir çeşmedir gözü bul da iç
Davut Sulari'nin mızrabı kılıç
Teller diller alo alo Ali diyorlar
(Teller diller alo alo Ali diyorlar)
",erzincan
"Altın tasda incim var
Sol böğrümde sancım var

Piyadeyim piyade
Dostlar derdim ziyade

Altın tas altın kilden
Severim canı dilden

Yaralarım oyuldu
Göz göz oldu soyuldu
",erzincan
"Altın tasta bulgurum (yar yaralı gelin)
Kız saçına vurgunum (başı paralı gelin)
Eğil eğil öpeyim (yar yaralı gelin)
Yoldan geldim yorgunum (başı paralı gelin)

Ey su yolu su yolu (yar yaralı gelin)
Boş gittin geldin dolu (başı paralı gelin)
Terzi elin kırılsın (yar yaralı gelin)
İncidi yarin kolu (başı paralı gelin)

Çubuğun ucuyunan (yar yaralı gelin)
Kavruldum acıyınan (başı paralı gelin)
İnsan bir haber salar (yar yaralı gelin)
Dilinin ucuyunan (başı paralı gelin)
",erzincan
"Aşağıdan gelen geline bak
Saçı kılapdun teline benzer
Ben o yari nerde görsem tanırım
Çiçekli bağçenin gülüne benzer

Çeşmenin başında söylenen sözler
Yaktı gitti beni o ela gözler
İleride gelinler geride kızlar
Hiçbirisi nazlı yare benzemez
",erzincan
"Benden sorulursa aşık olanlar
Manen pir elinden dolan aşıktır
Meclis olup değerini bulanlar
Kendi cenazesin kılan aşıktır

Kişisel olanı kainat tanır
Darb-i aşk olanlar cihan dolanır
Gahi berrak akar gahi bulanır
Olgun mertebede kalan aşıktır

Ben aşık değilim yoksul ozanım
İçimde dert kaynar bünyem kazanım
Bazı yalçın dağım bazı sazanım
Davut Sulari'den kalan aşıktır
",erzincan
"Aşkın şarabını içerler dilber
Ferhat misali döner perişan olur
Hüsnün görüp candan geçenler dilber
Mecnun gibi gezer sergerdan olur

Saki sensiz meyler cenneti huri
Cevr ü cefa ile geçmez süruru
Dünya ukbada sensiz huzuru
Şükür diye erenler şaduman olur
",erzincan
"Ayrıldım sıladan sızlıyor içim
Bir gece içinde ağardı saçım
Derildi barhanam dürüldü göçüm
Beni gören dağlar taşlar ağlasın

El ele geliyor çifte kardaşlar
Akıttım gözümden kan ile yaşlar
Şimdi çiçek açtı bizim ağaçlar
Üzerine konan kuşlar ağlasın

Gidip gelmemek var gelip görmemek
Kendini bilene bu söz ne demek
Zayoldu bunca yıl çektiğim emek
Mezarıma yağan kışlar ağlasın
",erzincan
"Bacadan aşıyor ayvanın dalı
Yüzüne dokunmuş yazmanın alı
Güzel ne'deceksin bu kadar malı
İşte görünüyor dünyanın halı

Benim yarim incelerden pek ince
Yadlara aldırmam ben ölmeyince
Azrail de gelmiş canım almağa
Ben canımı vermem yar gelmeyince
",erzincan
"(Oğul) Bağdatlıyam bahtım yok
(Oğul) Devletliyem tahtım yok
(Oğul) Gerdana sinek konmuş
(aman aman aman aman aman)
(Oğul) Sinek kadar bahtım yok (ele)

(Oğul) Yüz olsun yüz olsun
(Oğul) Sür harmanın yüz olsun
(Oğul) (Tara zülfün düz olsun)
Doksan dokuz yaram var
(aman aman aman aman aman)
(Oğul) Bir de sen vur yüz olsun (ele)
",erzincan
"Bahçanın kapısı güldür
Dalında öten bülbüldür
Yar ismini bana bildir
Bir gül alam yanağından

Edasına gülüm edasına
Karşı gelem gadasına
Bugün bir çift güzel indi
Nazlı yarin odasına

Bahçanın kapısın açtım
Kırmızı güle dolaştım
Yar ile tenha buluştum
Bir gül aldım yanağından

Edasına gülüm edasına
Karşı gelem gadasına
Bugün bir çift güzel indi
Nazlı yarin odasına
",erzincan
